Symbol,ADX,BBands,BOP,MACD,MOM,RSI,Gain
EGN,13.8596,0.149966997,0.0806,0.7846,0.05930172,59.0473,0.908308004
GARS,26.1134,0.064266338,-0.4524,-0.0608,-0.004685573,38.6593,1.001218027
GLP,22.4669,0.090071856,-0.4412,-0.2571,-0.030538922,39.4706,1.008370787
GDP,16.7219,0.094170486,0.1225,0.1064,0.064894592,55.2954,1.030795552
HALO,48.6822,0.124718657,0.503,0.5714,0.020039487,77.2623,0.939150086
HSC,25.9586,0.065758713,0.2778,0.0534,0.055227882,53.2868,0.978835979
HRI,41.5173,0.109599106,0.4065,1.9628,0.017313528,73.839,1.066457188
HPT,30.5909,0.040361809,-0.0695,0.109,-0.006767169,56.3299,0.949273704
HII,55.8505,0.018977514,-0.6518,0.641,0.011336445,62.1988,1.045612843
INWK,16.594,0.073439681,-0.7222,-0.1182,-0.001595214,37.4575,0.985756385
INVH,26.858,0.044777259,0.0327,0.0535,-0.010436996,56.6816,0.955701568
JAG,30.4721,0.177198986,0.1971,0.411,0.104816223,63.9494,0.825474587
KIN,19.4315,0.280571429,0.7143,0.4704,0.156613757,77.9625,0.947368421
FSTR,25.9186,0.246423573,0.75,0.8164,0.118232044,72.639,1.018181818
MBUU,29.4442,0.134463505,-0.4382,0.0348,-0.001816347,52.1818,1.125083389
MRT,22.4251,0.059893048,-0.0254,-0.019,0.011942959,46.0681,0.965198238
MACK,38.8648,0.187512195,-0.7273,-0.3326,0.001560976,52.1316,1.037926758
MITK,24.4286,0.068648045,-0.087,-0.0379,0.036312849,47.9836,0.87431694
MODN,52.7132,0.057574603,-0.4545,0.1361,0.006984127,67.4195,0.962025316
NVEE,35.4308,0.0766759,-0.3188,0.2159,0.033795014,59.0244,0.903019213
NEOS,31.7348,0.057372549,-0.0303,-0.006,-0.001960784,56.7137,1.014150943
NTN,46.2712,0.34064133,-0.3303,-0.3151,0.02032304,28.4511,1.337434679
NES,68.7507,0.789174917,0.5247,2.5849,0.318811881,77.6931,0.96902439
OAS,23.2136,0.513436385,-0.6212,-0.3991,-0.072057075,43.6646,1.017502917
ZEUS,27.8409,0.100102373,0.1764,0.5503,0.028106096,61.5603,1.058663363
OLP,27.3205,0.06492284,-0.3807,0.0881,-0.011111111,56.107,0.939969605
PE,24.0417,0.212927989,0.4328,0.8932,0.11236413,61.3518,0.796162676
PFGC,22.3811,0.144380665,0.8166,0.9975,0.049546828,80.1872,1.02962963
PPC,42.3065,0.360869285,-0.7752,-0.8253,-0.124533162,48.6142,0.964015705
PXLW,51.2826,0.264897314,0.4314,0.2451,0.151658768,67.8809,0.939577039
PRMW,23.5311,0.076706444,-0.3691,-0.0067,0.005887033,54.998,1.038674033
RNG,31.2302,0.076400826,0.2333,0.6062,0.014669421,66.0933,1.133009193
MCRB,17.7933,0.077120316,-0.3401,0.0167,0.017751479,42.1727,1.000473261
